#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|      testFile_V5_2024_04_16.bin|  5.50e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.73998912|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.47934859|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.10870493|  PASSED  
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.57719446|  PASSED  
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.89164363|  PASSED  
# The file file_input_raw was rewound 1 times
        diehard_opso|   0|   2097152|     100|0.54091412|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.32756563|  PASSED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.00003338|   WEAK   
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.89462369|  PASSED  
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.05590511|  PASSED  
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.15911465|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.97931484|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.70853310|  PASSED  
# The file file_input_raw was rewound 3 times
     diehard_squeeze|   0|    100000|     100|0.85297581|  PASSED  
# The file file_input_raw was rewound 3 times
        diehard_sums|   0|       100|     100|0.00310475|   WEAK   
# The file file_input_raw was rewound 3 times
        diehard_runs|   0|    100000|     100|0.06090472|  PASSED  
        diehard_runs|   0|    100000|     100|0.82874431|  PASSED  
# The file file_input_raw was rewound 4 times
       diehard_craps|   0|    200000|     100|0.68853784|  PASSED  
       diehard_craps|   0|    200000|     100|0.46549712|  PASSED  
# The file file_input_raw was rewound 11 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.85449040|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.41304377|  PASSED  
# The file file_input_raw was rewound 11 times
         sts_monobit|   1|    100000|     100|0.79574852|  PASSED  
# The file file_input_raw was rewound 11 times
            sts_runs|   2|    100000|     100|0.99030258|  PASSED  
# The file file_input_raw was rewound 11 times
          sts_serial|   1|    100000|     100|0.56768863|  PASSED  
          sts_serial|   2|    100000|     100|0.37507779|  PASSED  
          sts_serial|   3|    100000|     100|0.94075945|  PASSED  
          sts_serial|   3|    100000|     100|0.20590091|  PASSED  
          sts_serial|   4|    100000|     100|0.98862453|  PASSED  
          sts_serial|   4|    100000|     100|0.93902696|  PASSED  
          sts_serial|   5|    100000|     100|0.97849366|  PASSED  
          sts_serial|   5|    100000|     100|0.75707657|  PASSED  
          sts_serial|   6|    100000|     100|0.97708974|  PASSED  
          sts_serial|   6|    100000|     100|0.89628151|  PASSED  
          sts_serial|   7|    100000|     100|0.83072194|  PASSED  
          sts_serial|   7|    100000|     100|0.57549804|  PASSED  
          sts_serial|   8|    100000|     100|0.75714912|  PASSED  
          sts_serial|   8|    100000|     100|0.99875157|   WEAK   
          sts_serial|   9|    100000|     100|0.12042726|  PASSED  
          sts_serial|   9|    100000|     100|0.31968472|  PASSED  
          sts_serial|  10|    100000|     100|0.12256303|  PASSED  
          sts_serial|  10|    100000|     100|0.02755770|  PASSED  
          sts_serial|  11|    100000|     100|0.03152513|  PASSED  
          sts_serial|  11|    100000|     100|0.81409967|  PASSED  
          sts_serial|  12|    100000|     100|0.02942423|  PASSED  
          sts_serial|  12|    100000|     100|0.52388472|  PASSED  
          sts_serial|  13|    100000|     100|0.51586304|  PASSED  
          sts_serial|  13|    100000|     100|0.72656166|  PASSED  
          sts_serial|  14|    100000|     100|0.67833797|  PASSED  
          sts_serial|  14|    100000|     100|0.11083747|  PASSED  
          sts_serial|  15|    100000|     100|0.50316470|  PASSED  
          sts_serial|  15|    100000|     100|0.32804521|  PASSED  
          sts_serial|  16|    100000|     100|0.60197991|  PASSED  
          sts_serial|  16|    100000|     100|0.78595309|  PASSED  
# The file file_input_raw was rewound 11 times
         rgb_bitdist|   1|    100000|     100|0.69430337|  PASSED  
# The file file_input_raw was rewound 11 times
         rgb_bitdist|   2|    100000|     100|0.25874129|  PASSED  
# The file file_input_raw was rewound 11 times
         rgb_bitdist|   3|    100000|     100|0.33600354|  PASSED  
# The file file_input_raw was rewound 11 times
         rgb_bitdist|   4|    100000|     100|0.20240315|  PASSED  
# The file file_input_raw was rewound 12 times
         rgb_bitdist|   5|    100000|     100|0.88373722|  PASSED  
